Dimension,State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
DummyDim3,WY,48,878,889-7926,yes,yes,100,9.81381371,3,7.75940929,8.6709857,3,6.47273218,4.72858785,250,6.2545857,4.28490603,5,5.66194876,5,True.
DummyDim3,NY,142,788,248-9207,yes,no,0,0.63160711,4,0.81736356,4.39959754,0,2.02448232,3.15650487,200,6.1247431,5.644293,3,1.53201735,10,True.
DummyDim3,NJ,111,787,843-5355,yes,yes,700,11.6156186,2,7.89847249,9.79110372,0,7.37576447,5.14423539,250,6.8554678,4.41332041,4,8.49937973,6,False.
DummyDim3,NM,63,787,360-2799,yes,yes,300,7.33125487,3,8.45673989,9.61790618,6,3.81893167,6.52877871,250,4.53991711,4.95204695,3,8.91184082,5,False.
DummyDim3,ID,124,736,199-4929,yes,no,0,6.35016402,6,5.27866821,6.17490089,4,5.82523528,5.09793053,150,5.93179335,4.88224683,3,5.57614618,6,True.
DummyDim3,DE,111,686,620-9126,no,yes,500,2.01849349,6,5.82035674,8.19113534,6,2.42818687,1.3332678,400,4.96720429,5.25609596,5,4.67346229,5,False.
DummyDim3,WY,182,878,671-4825,yes,yes,200,1.67522982,6,3.99944125,0.64239195,8,4.68058872,3.5441479,100,5.5301374,5.88288156,1,3.3081406,4,False.
DummyDim3,IN,162,737,822-7473,yes,yes,500,1.63789565,4,1.25356433,2.85791358,3,4.65439169,1.85833448,150,4.65546597,3.90977031,3,4.20492245,8,False.
DummyDim3,IL,128,737,247-5360,no,no,0,3.25502601,3,6.43792988,7.13877361,4,3.031721,2.85162513,300,5.17217516,4.16172794,4,3.92224184,7,True.
DummyDim3,CA,14,676,641-1882,no,no,0,5.43516804,1,5.03644116,7.24693316,0,6.21382323,2.97870379,300,5.50635546,4.74009754,3,6.96449519,7,True.
DummyDim3,NM,56,787,822-3322,yes,yes,200,4.57984313,2,2.00117805,2.52530957,5,0.02472185,3.73189351,150,1.66765635,3.88207067,2,6.69048928,3,False.
DummyDim3,WA,17,876,870-2858,yes,no,0,3.64875085,6,5.78951463,6.37469181,8,4.0056746,4.31500682,200,3.85106079,5.90436243,3,7.297146,2,False.
DummyDim3,ND,48,786,998-3997,yes,yes,100,1.08746919,4,1.77940333,5.07561956,1,2.2140292,1.32395129,150,4.42567492,5.84458509,4,3.7181925,6,False.
DummyDim3,NM,151,787,350-1439,no,yes,700,4.24992461,2,1.49076883,3.06862677,0,1.18536302,2.17014294,300,0.83354154,5.92297552,7,3.99151338,6,False.
DummyDim3,UT,73,858,890-5917,no,no,0,6.21659491,1,6.04393474,6.76793727,1,6.51083722,0.94218524,250,6.15701372,4.92791753,4,4.6776666,8,True.
DummyDim3,MI,143,777,991-1739,yes,yes,600,1.2466114,4,1.49573635,5.66915975,1,0.95116039,2.96682108,300,5.03962307,4.50199232,5,1.19884817,9,True.
DummyDim3,WI,103,877,113-1209,yes,yes,500,5.53252793,7,5.37694359,6.50878036,4,6.00847708,4.00340409,350,4.73926858,5.06670395,6,3.22519443,7,False.
DummyDim3,MA,77,776,381-2754,yes,yes,800,9.61625741,3,6.55216469,6.358485,2,7.14567678,6.54153453,400,5.2022557,5.86379573,9,3.2162142,7,False.
DummyDim3,UT,148,858,754-4268,yes,no,0,7.92808486,5,7.5828891,5.91330254,8,4.68296732,6.36209833,150,5.80643087,5.98088887,5,4.0925932,5,True.
DummyDim3,IN,92,737,472-5869,no,yes,100,9.19533323,5,8.04203144,7.02543216,6,5.62769523,5.11119896,150,6.79277303,5.26909761,4,4.1369364,6,True.
DummyDim3,MN,105,777,546-9974,no,no,0,3.23835715,2,4.21854711,3.70531257,3,4.06219481,4.84342561,250,4.01859541,5.3517475,5,5.57079474,4,False.
DummyDim3,WV,4,878,510-9652,no,yes,500,4.67796311,6,6.2592956,5.78630984,7,3.78033494,3.30955717,450,6.29928919,3.45022124,7,0.85312102,7,False.
DummyDim3,OK,109,797,602-8582,yes,no,0,6.09899743,3,6.5505417,5.54508971,3,4.74024892,3.62589802,150,5.62616943,4.4702981,5,4.36590787,6,True.
DummyDim3,OK,14,797,437-5663,yes,yes,600,4.37223249,3,4.76307804,5.35011634,4,4.92083123,6.59755891,350,3.05766331,5.95677921,6,5.47865739,5,False.
DummyDim3,WA,195,876,563-5917,yes,yes,500,6.26743729,1,7.86877061,4.60033661,7,3.86909043,6.14140695,350,4.77447129,5.4780065,6,3.14114721,6,False.
DummyDim3,MI,69,777,265-9395,no,no,0,2.33913656,5,3.83943635,4.14288367,4,4.43228957,2.71578223,400,4.91441146,5.2094649,7,0.10490775,7,False.
DummyDim3,WA,101,876,331-3232,yes,yes,1000,3.92961037,4,3.4232958,5.89239016,2,6.35870243,1.21054777,350,4.73208025,4.92681157,8,4.32039707,8,False.
DummyDim3,FL,102,707,498-2586,yes,yes,300,6.88695876,4,5.45073158,6.78414398,2,5.96948146,4.77141246,200,5.30481272,3.90065429,4,6.05651607,5,True.
DummyDim3,MS,116,778,856-1759,yes,yes,900,0.23297488,4,0.78624287,4.65651449,4,4.1470373,3.17158974,200,4.95085553,6.3522944,5,4.18458878,8,True.
DummyDim3,NH,69,787,306-4261,no,yes,400,3.07978923,4,3.34590764,1.96148883,5,4.57232327,5.3133376,250,5.5803513,3.64140433,5,0.95458376,6,False.
DummyDim3,MS,150,778,318-4751,no,no,0,2.43863515,2,5.81554696,2.6646521,11,2.85076183,9.25388377,250,0.90855527,4.62631914,5,8.09579895,0,False.
DummyDim3,CO,22,677,995-3527,no,no,0,6.65879497,3,3.03628619,4.7109545,2,6.30835381,4.20289284,50,6.19477838,3.82138101,6,4.52159424,6,True.
DummyDim3,NJ,131,787,506-6419,yes,no,0,8.17955276,2,5.52714955,7.92469434,0,6.84422982,4.32757552,250,5.0128622,3.95460832,6,7.4970761,4,True.
DummyDim3,HI,30,727,702-2075,yes,no,0,2.42900856,5,3.56585284,3.48625851,3,4.22718117,4.14192314,200,5.00602104,4.80688769,4,4.03667267,7,True.
DummyDim3,IA,183,736,173-7070,no,yes,400,2.9060973,3,6.14687426,4.84067356,4,1.93154326,2.45838737,200,5.54091525,6.16145894,6,0.46180093,9,True.
DummyDim3,OK,103,797,836-8346,yes,no,0,9.03101188,3,6.44506746,4.84192638,1,7.41594057,3.53811325,100,7.21847561,7.83056197,4,3.9775378,6,True.
DummyDim3,ND,105,786,646-8456,no,no,0,3.91123075,3,3.80559294,6.01885036,3,3.64851391,4.45478168,250,6.85867706,6.22835658,2,3.84432168,6,False.
DummyDim3,NE,193,786,158-3166,yes,no,0,9.53559813,3,6.798022,6.38519535,1,7.36310773,3.421205,150,5.98801817,6.60877612,6,6.01664977,4,True.
DummyDim3,KY,181,758,945-1816,yes,yes,600,4.85357811,3,1.30119325,0.8604367,4,1.56735112,2.9891916,250,0.54811782,5.41971795,5,5.09036854,4,False.
DummyDim3,AZ,40,659,644-7250,yes,yes,600,8.2553281,3,1.20644351,1.19984913,3,0.25224331,2.74218315,300,0.11003876,6.31985983,8,0.24171142,6,False.
DummyDim3,SD,1,836,390-1778,no,yes,200,6.74796479,1,3.75498252,4.33411013,2,6.26284667,2.7059583,150,8.08716227,4.88650475,4,1.45236351,9,True.
DummyDim3,SC,38,836,464-5038,yes,no,0,9.28384226,3,6.79485172,4.74547603,2,6.7447849,5.01932069,250,6.7325642,6.58875817,7,2.58265761,7,False.
DummyDim3,DE,110,686,781-8134,yes,no,0,5.054827,7,0.64726893,3.48357621,7,3.3800545,3.00493288,150,2.67258302,5.10836229,4,0.21461968,4,False.
DummyDim3,NJ,32,787,594-3893,no,no,0,8.26311395,3,7.8257993,7.17428589,0,5.91976244,1.16710076,150,5.95172083,4.62663412,7,3.65820607,7,True.
DummyDim3,KY,55,758,230-7614,no,yes,700,1.06586907,3,2.18369247,3.78579154,2,2.52830269,2.72819951,400,3.30510926,5.54987,7,2.52966503,6,False.
DummyDim3,KY,27,758,561-7611,yes,yes,900,1.49754491,1,1.34113291,1.49123171,4,5.62780779,0.80911528,250,4.60421469,3.30752663,8,1.60339292,8,False.
DummyDim3,SC,163,836,303-7889,yes,yes,200,9.16864059,5,8.85597631,4.37008757,6,3.97164827,3.75867589,0,7.62597643,4.84804804,8,0.84458993,7,True.
DummyDim3,IN,87,737,383-6065,no,yes,300,3.94571378,1,6.49855489,1.31068576,7,3.17188703,5.3535738,200,3.86666311,3.62529511,7,0.96457969,5,False.
DummyDim3,NM,195,787,916-3660,yes,yes,800,1.21915535,2,3.90030006,2.38017835,2,3.88989918,5.01702764,300,1.71599485,5.22527691,7,5.05177251,5,False.
DummyDim3,CO,142,677,510-5988,no,yes,500,6.50060375,5,5.59928294,6.74713583,2,5.52646358,3.13435345,300,6.63042752,6.32830977,6,2.05562701,8,False.
DummyDim3,NE,120,786,143-1727,yes,yes,1000,6.34769164,5,4.45182307,5.67482844,1,7.06793884,5.67542623,350,3.96039425,4.47549456,7,6.65913116,5,False.
DummyDim3,NH,43,787,758-1307,no,yes,600,1.69079725,4,3.28906792,2.39674703,3,4.62963932,5.33454219,200,2.14012365,4.04414116,6,5.61047092,4,False.
DummyDim3,OH,41,797,791-2794,yes,no,0,5.33300963,3,6.84440407,5.25601397,3,3.34012637,2.05638797,250,7.02004261,5.72668077,6,0.13124106,8,True.
DummyDim3,MT,4,778,138-4081,no,no,0,8.9623609,3,7.78191163,4.55895698,3,7.80440897,4.89417624,100,5.25391918,6.36648965,2,7.34342116,5,True.
DummyDim3,NC,196,786,898-5743,yes,yes,400,3.40490153,6,1.59943248,3.24341771,6,1.90592985,2.91049894,300,2.37660824,4.42137707,4,4.71821686,3,False.
DummyDim3,IA,169,736,160-6461,no,yes,800,11.744852,1,8.35117804,4.9083976,4,7.44629724,7.36230269,300,6.76495445,4.71064518,6,4.2429943,6,False.
DummyDim3,IL,161,737,470-3257,yes,yes,600,5.23886638,2,6.98354518,6.11629075,4,4.27891458,4.39987193,300,4.31705344,6.12962297,5,6.85715165,4,False.
DummyDim3,DE,154,686,919-1059,no,no,0,11.8596691,4,7.42368489,3.99980705,2,8.7037146,4.47137314,0,7.25394488,4.88003144,5,4.92939281,4,True.
DummyDim3,ME,132,776,670-2917,no,yes,700,3.04534965,4,2.00345766,3.20398506,1,6.24609282,2.58361881,250,5.01873396,4.94707501,6,2.81851056,7,False.
DummyDim3,NY,176,788,784-5256,yes,no,0,9.59717033,1,6.05188827,7.56535153,3,8.20243898,2.10769432,200,5.84562985,5.67561874,7,7.12435224,5,True.
DummyDim3,CA,60,676,294-7063,no,no,0,3.98727775,3,3.31989193,4.29250303,0,5.44456902,3.47621587,200,5.97109307,3.00885508,4,2.98623338,8,False.
DummyDim3,LA,86,766,120-3574,no,yes,400,8.28445052,5,6.92762954,6.28395354,3,6.03570414,4.40195796,150,5.56732149,3.9754744,6,4.94627701,5,True.
DummyDim3,NH,165,787,755-1584,no,no,0,4.42947977,4,5.84548091,7.2335226,4,4.28084754,3.23778987,350,5.59956186,4.55413625,4,5.46610355,5,False.
DummyDim3,VA,162,866,280-3502,yes,no,0,4.03488637,6,1.19753794,3.35096077,0,4.97083464,5.954435,50,7.13960011,4.88471514,3,1.62709831,8,True.
DummyDim3,IL,101,737,132-4467,yes,yes,200,6.74086464,4,5.63979604,5.61107138,5,3.8045905,5.08380511,200,6.58294484,4.66322838,8,0.31729851,6,True.
DummyDim3,CO,140,677,556-9111,yes,yes,300,3.68206578,3,3.42093707,2.69506853,3,5.09383525,4.76684134,200,5.94821327,3.26029918,3,3.04806122,6,False.
DummyDim3,WA,26,876,745-7632,no,no,0,8.56580224,5,6.81620328,6.76245113,4,6.25683091,4.68085174,150,5.96879343,5.36478787,5,4.81603145,5,True.
DummyDim3,CT,142,678,712-1322,yes,no,0,0.58386724,4,3.31543151,5.1387725,1,2.75482839,0.41671976,100,6.37700024,5.07860648,1,3.72593299,7,False.
DummyDim3,AZ,108,659,368-2967,yes,no,0,11.6650873,3,6.90985661,7.19964791,0,8.69769825,5.66542711,300,6.03267138,4.38703035,8,4.20146036,8,False.
DummyDim3,TX,135,848,929-5449,yes,yes,500,6.57740151,5,6.64440533,4.16590155,4,6.14849752,2.64713249,200,6.35886306,5.56450045,5,3.04002103,6,False.
DummyDim3,MD,134,776,438-2228,yes,yes,0,9.10502893,4,7.36259306,6.17679257,2,7.0169878,2.6836827,200,8.29642833,5.07100877,3,1.46397575,9,True.
DummyDim3,MD,95,776,977-7929,yes,no,0,12.0605356,2,7.12175866,8.80928597,0,8.27745489,5.19388462,150,4.94269577,3.60101201,8,9.76503649,1,True.
DummyDim3,NV,160,788,914-2227,yes,yes,800,0.80438378,2,3.79944477,2.72491391,3,3.81309203,3.9365134,300,2.01285615,5.14319854,7,5.53590862,4,False.
DummyDim3,DC,49,686,689-5590,yes,no,0,0.67568618,3,2.50496043,1.90987162,3,3.00573054,3.10872671,200,2.5548282,4.60469902,7,3.45241683,4,False.
DummyDim3,KY,123,758,374-6067,yes,yes,400,7.76924244,3,7.35922242,2.28999211,6,6.20086193,5.85613763,100,4.28494655,5.99961329,6,5.37365895,3,True.
DummyDim3,FL,48,707,654-7650,yes,yes,1000,3.86757037,6,0.88703113,0.2635736,2,8.60278894,4.40793033,250,4.26723067,4.52753466,8,0.58183273,9,False.
DummyDim3,WY,184,878,493-1022,yes,yes,200,8.05671031,3,7.82094647,4.79631759,7,4.17378906,5.74438085,100,6.42945711,5.0524928,6,2.0404194,6,True.
DummyDim3,ID,79,736,694-1460,yes,yes,200,12.0879068,4,9.1125906,6.59350086,6,7.34017454,5.16910797,150,5.83102868,5.06565071,8,5.53773315,2,True.
DummyDim3,NY,46,788,239-1311,no,no,0,10.6211454,2,6.90782547,8.91620352,0,8.5842594,3.75874681,250,5.75764341,5.98920156,5,9.36660828,3,True.
DummyDim3,KY,41,758,806-6533,yes,no,0,2.44640659,6,8.22462281,12.1331298,12,0.06016223,3.51213955,400,3.97253291,5.72318343,4,7.49439843,2,False.
DummyDim3,WI,133,877,363-3609,yes,no,0,7.57557116,5,7.72212491,3.57264001,7,6.30730917,5.3674446,100,5.67309429,5.37782127,2,5.69367524,4,True.
DummyDim3,HI,78,727,790-8881,yes,yes,300,4.27381695,5,4.55883309,3.42046382,5,3.88556821,6.04160782,50,5.86812779,3.52246564,3,2.74516279,7,True.
DummyDim3,OH,122,797,883-7084,yes,no,0,11.865043,5,7.3361948,5.37134708,5,8.7404242,7.27328816,100,4.53245313,6.95613657,7,9.10305546,0,True.
DummyDim3,FL,183,707,402-5746,yes,no,0,9.43831123,6,8.5075703,4.87989138,10,5.58065532,6.23738216,150,6.87713068,4.14964641,5,2.75852794,4,True.
DummyDim3,ND,173,786,343-8211,yes,yes,600,1.58906009,9,3.50452778,4.9296931,5,4.58385565,1.15258272,400,4.91679125,5.49460469,7,0.85484824,6,False.
DummyDim3,NH,97,787,649-9499,yes,yes,400,9.30373796,4,7.50804767,4.78646361,3,7.37047968,3.58184922,100,6.10587971,4.11220393,5,5.42715486,4,True.
DummyDim3,OH,83,797,502-5296,no,yes,300,11.7979443,2,9.32234237,8.15843817,1,9.55173068,2.50426758,250,5.40216395,3.93175319,5,9.53314291,3,True.
DummyDim3,SC,78,836,556-1222,no,no,0,7.86099012,5,6.3011234,7.16645124,1,5.89703068,1.98501993,150,6.90631423,3.00944781,6,3.07911053,6,True.
DummyDim3,NV,28,788,514-1335,no,no,0,5.37157609,2,6.36122528,4.21230436,5,4.44784766,5.04858619,200,4.00324533,5.57948295,6,5.2449735,3,False.
DummyDim3,LA,144,766,364-6159,yes,yes,400,5.26714513,3,4.90683663,5.21611512,2,4.31512318,3.44422631,200,5.77435004,5.99464686,7,2.4692019,6,True.
DummyDim3,MA,103,776,889-3737,yes,yes,500,0.52456857,1,1.02997272,0.28610425,1,3.11773137,3.77353307,200,4.79788044,3.94665012,5,1.06623206,6,False.
DummyDim3,TX,65,848,651-4293,yes,yes,400,6.38192537,1,5.31906651,6.84071911,4,6.99122364,0.78265961,200,5.95979494,5.35964752,5,5.25133898,8,True.
DummyDim3,IL,193,737,635-5229,yes,no,0,3.76902185,5,2.68832086,2.8347368,7,1.41550334,2.37203354,350,1.83839379,4.79579808,5,3.77682232,4,False.
DummyDim3,AZ,43,659,166-3864,yes,yes,500,8.44161064,3,5.58586204,5.43194245,0,9.28734526,4.27010238,150,4.96233869,6.24648626,2,9.62882155,5,True.
DummyDim3,NM,166,787,315-4953,yes,yes,500,0.98733634,5,6.20934272,6.80260836,8,1.84321791,2.60705986,350,3.05943873,4.72353006,5,5.67340445,4,False.
DummyDim3,AL,186,657,184-8255,yes,yes,600,5.83899851,6,2.67878811,5.86698514,1,6.2286053,2.14420656,200,7.79972655,4.7824549,6,1.95808508,8,True.
DummyDim3,MN,41,777,483-7730,no,no,0,0.29965374,6,2.16806711,1.3168239,3,1.54851904,3.23392946,150,7.32740975,4.55165249,5,3.49698635,10,True.
DummyDim3,DC,162,686,866-5925,no,yes,300,7.41748268,5,6.92030265,6.7439603,7,4.32498663,7.09631769,150,4.4053841,3.17910291,6,5.51532802,4,True.
DummyDim3,NV,169,788,510-1025,no,no,0,9.1631572,4,3.52119338,7.23809355,2,8.54838865,5.96801135,100,5.69565934,2.22344893,4,8.32051097,5,True.
DummyDim3,ME,163,776,522-2389,yes,yes,600,2.52791542,6,3.32760517,3.55491298,3,5.58140234,3.37610885,300,3.44535036,3.95852522,7,3.10507272,5,False.
DummyDim3,ID,53,736,558-8720,yes,yes,400,9.15748369,4,0.64978767,0.3262369,6,0.06414947,3.10775553,150,1.02822041,4.63497966,2,7.48888658,1,False.
DummyDim3,WY,19,878,918-7670,yes,yes,900,8.84169769,1,6.42356239,2.4029044,0,6.45666552,6.74634377,300,5.79264547,5.42289449,8,2.9838637,7,False.
DummyDim3,AR,27,658,388-2227,no,yes,600,2.07979792,5,2.21938943,2.26777479,0,5.70070374,1.99508935,300,5.30430157,4.59103532,7,0.50467557,9,False.
DummyDim3,GA,130,716,619-2326,no,no,0,0.84496744,5,1.72047106,5.12532072,2,4.14375018,3.32349075,250,4.55178844,3.2658862,4,4.21038505,6,False.
DummyDim3,DC,107,686,935-7546,yes,yes,500,3.28614865,2,4.76287879,3.4666934,1,4.34224944,4.55140287,100,3.12608336,4.20051333,5,6.64623698,5,False.
DummyDim3,IL,38,737,855-2333,no,yes,300,10.4530494,6,5.17520748,4.76241084,3,7.87588265,5.64247082,0,7.14474993,4.61191597,6,3.94158977,4,True.
DummyDim3,ME,115,776,779-7202,yes,yes,600,1.13229614,1,4.81736735,3.44309344,6,1.08820736,5.1107109,200,0.17078281,7.38776183,6,8.96309167,1,False.
DummyDim3,NV,145,788,709-6798,yes,no,0,7.30353799,4,6.28573797,5.89325711,7,3.98838529,6.61562523,200,5.05800715,3.82839243,8,4.89665246,2,True.
DummyDim3,HI,17,727,455-1257,yes,yes,300,5.1723067,4,4.62354779,5.23245471,0,4.81675078,1.90491686,200,7.87203531,4.26271985,5,0.00501204,10,True.
DummyDim3,VA,86,866,798-2721,yes,yes,100,9.38923312,2,10.4206454,6.26362309,4,7.70115143,2.59900335,200,4.36729453,5.62652381,4,8.39949182,4,True.
DummyDim3,CO,33,677,317-1712,no,no,0,5.66341958,4,4.6813003,6.15731091,0,4.91087572,2.54027362,200,5.62869943,4.3342161,8,2.95878948,6,True.
DummyDim3,ME,21,776,988-9262,no,no,0,2.53588626,5,3.45514249,4.73868392,9,0.62793076,2.42144325,350,3.57904603,3.11908206,4,4.06643758,3,False.
DummyDim3,OR,77,798,895-8678,yes,yes,400,2.4780968,3,3.45183104,4.3548771,9,0.72524685,5.85854476,300,0.71082392,4.40724305,3,8.34879227,1,False.
DummyDim3,CA,104,676,382-5311,yes,yes,1000,10.7820004,3,7.7496044,6.32065653,3,8.30968962,8.42954997,250,3.93150224,8.40564379,4,10.9643681,3,False.
DummyDim3,TX,150,848,522-8452,yes,yes,800,2.15150249,5,2.1922325,3.61394559,0,5.88092528,3.51333325,350,3.47887711,5.84336103,7,4.4268917,6,False.
DummyDim3,UT,144,858,642-5982,yes,no,0,3.4423456,1,3.00378151,1.82855706,2,6.11082187,4.18105665,200,3.13572698,5.58558008,7,5.80714938,6,False.
DummyDim3,NE,143,786,298-5110,yes,no,0,0.65529452,2,2.62641606,3.85445591,3,2.91541054,4.25973212,350,5.16710396,3.87793994,4,2.67408795,7,False.
DummyDim3,ME,34,776,479-1672,yes,no,0,6.061881,1,7.85688828,6.1217237,4,4.64324265,2.80732717,300,5.12360397,4.96446494,5,4.45688853,5,True.
DummyDim3,ME,70,776,635-1455,no,no,0,5.15932711,4,4.05228256,5.86571402,3,5.82633861,6.24271063,300,4.33206036,4.73260749,4,6.56835227,5,False.
DummyDim3,NM,168,787,366-5462,no,yes,100,10.9861389,3,7.84437137,6.03329609,3,6.38414963,3.01916184,200,8.37947998,6.47762455,8,0.08428418,6,True.
DummyDim3,WI,67,877,254-8423,yes,no,0,4.88651204,3,0.69777404,3.71063887,3,0.54637673,3.54760379,200,1.5362356,3.63159876,3,6.47142674,4,False.
DummyDim3,WA,82,876,669-1131,no,no,0,0.44575518,6,1.8344141,3.58855763,4,3.2374357,2.7632295,400,5.54450692,6.30893926,5,0.55808313,7,False.
DummyDim3,AL,154,657,255-3655,yes,yes,600,3.63310724,2,1.81533359,0.01568795,0,5.8307367,5.38397648,300,5.37791634,4.05899143,9,2.62784474,9,False.
DummyDim3,KS,48,758,938-4636,yes,no,0,6.49541324,1,7.68383622,3.6140603,5,5.43636483,4.49981972,150,5.03940193,4.58878284,3,4.94850629,5,True.
DummyDim3,IL,84,737,644-3682,no,no,0,6.04407957,5,6.68449899,7.67333351,4,4.8493184,3.29720312,200,4.6742876,5.98066125,6,5.84420407,5,False.
DummyDim3,HI,81,727,894-3380,no,yes,400,0.19425477,6,1.20955984,2.86053649,2,4.36058616,1.87100647,250,5.1460565,5.22606468,4,2.15181218,6,False.
DummyDim3,MT,59,778,224-7209,no,no,0,6.31383574,2,4.44231179,9.2807645,2,6.09857278,2.77285433,300,5.23588044,4.72338419,6,7.39836071,6,True.
DummyDim3,WA,42,876,603-7998,yes,no,0,7.74099359,2,10.4690516,5.31369847,7,4.89009309,3.00684125,200,5.99386346,4.88535907,4,3.41849997,6,True.
DummyDim3,TX,1,848,617-3849,no,yes,300,9.52226582,5,4.78289645,7.09803392,1,8.18614911,5.13255851,200,6.77130457,4.37206417,4,6.51145224,4,True.
DummyDim3,SD,25,836,134-6295,yes,no,0,1.54889238,2,1.27609841,1.90798505,0,3.26835424,2.64431843,300,2.2326247,4.63500015,8,2.64462684,6,False.
DummyDim3,KS,61,758,378-3478,yes,no,0,2.72088346,3,3.66248211,5.02409461,7,0.40812272,4.03077442,250,1.94209069,6.0656048,2,9.10663418,1,False.
DummyDim3,WV,118,878,735-8346,yes,no,0,11.3990912,1,7.3176095,4.46482051,0,8.98772916,4.34272158,50,5.87727384,4.78205793,6,6.56293126,4,True.
DummyDim3,SC,142,836,385-1667,yes,yes,600,6.65477979,6,3.64268125,6.25873737,2,4.94380072,5.52652912,150,6.31935387,4.49523105,7,3.07351605,5,True.
DummyDim3,MO,61,777,479-5923,no,no,0,3.9094319,3,5.53049504,3.13828403,7,4.28054677,6.12856835,350,3.407972,4.27304438,7,3.29844627,4,False.
DummyDim3,OK,3,797,425-1500,yes,no,0,2.31024985,5,4.43267679,6.67138265,8,0.3916786,2.76432151,450,1.79369714,4.08764492,6,4.42374555,4,False.
DummyDim3,WI,146,877,199-6811,no,yes,400,1.11814217,5,2.31619332,0.80570913,6,5.39094756,5.60530795,200,2.81975666,3.75625662,6,2.28854066,4,False.
DummyDim3,NM,103,787,926-7341,yes,no,0,6.83333231,2,6.96879464,6.24957513,1,4.66341357,0.49591018,250,6.81270232,4.84277132,8,1.4194192,6,True.
DummyDim3,NV,54,788,727-8490,yes,yes,500,8.65531466,2,8.85281766,7.17876224,7,4.3554917,6.61748885,350,4.98427902,5.33204915,8,3.50890252,6,False.
DummyDim3,WV,49,878,834-3343,no,yes,200,4.70958983,4,1.99267929,2.0717987,5,0.79001361,1.67903724,150,1.49924436,5.51647234,4,4.59966289,4,False.
DummyDim3,WI,59,877,121-7862,yes,no,0,6.0253384,3,6.55457033,2.88007636,2,7.14592091,2.40994179,150,5.65626316,3.76501969,2,4.97844192,6,True.
DummyDim3,AK,109,657,106-8047,yes,yes,500,3.84894212,3,3.0646067,3.43841878,2,3.50065515,4.70380112,200,6.69654111,3.49217365,6,0.3065493,7,True.
