Dimension,State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
DummyDim2,MA,77,776,381-2754,yes,yes,800,9.616257414,3,6.552164689,6.358484995,2,7.14567678,6.541534534,400,5.202255703,5.863795729,9,3.2162142,7,False.
DummyDim2,UT,148,858,754-4268,yes,no,0,7.928084861,5,7.582889097,5.913302541,8,4.682967317,6.362098325,150,5.806430872,5.980888871,5,4.092593199,5,True.
DummyDim2,IN,92,737,472-5869,no,yes,100,9.19533323,5,8.042031436,7.02543216,6,5.627695234,5.111198964,150,6.792773031,5.26909761,4,4.136936397,6,True.
DummyDim2,MN,105,777,546-9974,no,no,0,3.238357148,2,4.218547113,3.705312565,3,4.06219481,4.843425607,250,4.018595413,5.351747502,5,5.570794738,4,False.
DummyDim2,WV,4,878,510-9652,no,yes,500,4.677963108,6,6.259295602,5.78630984,7,3.780334941,3.309557175,450,6.299289194,3.450221239,7,0.853121017,7,False.
DummyDim2,OK,109,797,602-8582,yes,no,0,6.098997432,3,6.550541704,5.545089709,3,4.740248924,3.62589802,150,5.626169433,4.470298096,5,4.36590787,6,True.
DummyDim2,OK,14,797,437-5663,yes,yes,600,4.372232489,3,4.763078037,5.350116339,4,4.920831226,6.597558912,350,3.057663312,5.956779215,6,5.478657388,5,False.
DummyDim2,WA,195,876,563-5917,yes,yes,500,6.267437288,1,7.868770609,4.600336608,7,3.869090434,6.141406946,350,4.774471295,5.4780065,6,3.141147205,6,False.
DummyDim2,MI,69,777,265-9395,no,no,0,2.339136557,5,3.839436352,4.142883667,4,4.432289573,2.71578223,400,4.914411458,5.209464896,7,0.104907745,7,False.
DummyDim2,WA,101,876,331-3232,yes,yes,1000,3.929610366,4,3.423295795,5.89239016,2,6.358702434,1.210547771,350,4.732080249,4.926811568,8,4.32039707,8,False.
DummyDim2,FL,102,707,498-2586,yes,yes,300,6.886958757,4,5.450731584,6.784143979,2,5.969481456,4.771412461,200,5.304812724,3.900654294,4,6.056516072,5,True.
DummyDim2,MS,116,778,856-1759,yes,yes,900,0.232974879,4,0.786242868,4.656514489,4,4.1470373,3.171589744,200,4.950855525,6.352294401,5,4.184588779,8,True.
DummyDim2,NH,69,787,306-4261,no,yes,400,3.079789228,4,3.345907643,1.961488827,5,4.57232327,5.313337604,250,5.580351302,3.641404331,5,0.954583765,6,False.
DummyDim2,MS,150,778,318-4751,no,no,0,2.438635146,2,5.815546965,2.664652099,11,2.850761832,9.253883769,250,0.908555273,4.626319144,5,8.095798948,0,False.
DummyDim2,CO,22,677,995-3527,no,no,0,6.658794972,3,3.036286186,4.710954497,2,6.308353808,4.202892839,50,6.194778376,3.821381014,6,4.521594236,6,True.
DummyDim2,NJ,131,787,506-6419,yes,no,0,8.179552756,2,5.527149547,7.924694341,0,6.844229815,4.327575516,250,5.012862199,3.954608316,6,7.497076098,4,True.
DummyDim2,HI,30,727,702-2075,yes,no,0,2.429008558,5,3.56585284,3.486258509,3,4.227181169,4.141923142,200,5.006021042,4.806887688,4,4.036672667,7,True.
DummyDim2,IA,183,736,173-7070,no,yes,400,2.906097297,3,6.14687426,4.84067356,4,1.931543256,2.458387374,200,5.540915254,6.161458937,6,0.461800935,9,True.
DummyDim2,OK,103,797,836-8346,yes,no,0,9.031011877,3,6.445067461,4.841926376,1,7.415940573,3.538113246,100,7.218475611,7.830561973,4,3.977537796,6,True.
DummyDim2,ND,105,786,646-8456,no,no,0,3.911230747,3,3.805592936,6.018850357,3,3.648513909,4.454781681,250,6.858677059,6.22835658,2,3.844321681,6,False.
DummyDim2,NE,193,786,158-3166,yes,no,0,9.535598126,3,6.798021996,6.385195354,1,7.363107732,3.421205001,150,5.988018166,6.60877612,6,6.016649772,4,True.
DummyDim2,KY,181,758,945-1816,yes,yes,600,4.853578109,3,1.301193248,0.860436701,4,1.567351117,2.989191598,250,0.548117822,5.419717954,5,5.090368542,4,False.
DummyDim2,AZ,40,659,644-7250,yes,yes,600,8.255328096,3,1.206443514,1.199849129,3,0.25224331,2.742183148,300,0.110038759,6.319859832,8,0.24171142,6,False.
DummyDim2,SD,1,836,390-1778,no,yes,200,6.747964792,1,3.754982519,4.334110126,2,6.262846669,2.705958299,150,8.087162269,4.88650475,4,1.452363506,9,True.
DummyDim2,SC,38,836,464-5038,yes,no,0,9.283842259,3,6.794851717,4.745476028,2,6.744784896,5.019320687,250,6.732564195,6.58875817,7,2.582657611,7,False.
DummyDim2,DE,110,686,781-8134,yes,no,0,5.054827003,7,0.647268935,3.483576214,7,3.380054498,3.004932876,150,2.672583022,5.108362289,4,0.214619681,4,False.
DummyDim2,NJ,32,787,594-3893,no,no,0,8.26311395,3,7.825799299,7.174285893,0,5.919762443,1.167100757,150,5.951720827,4.626634124,7,3.658206072,7,True.
DummyDim2,KY,55,758,230-7614,no,yes,700,1.065869075,3,2.18369247,3.785791543,2,2.528302687,2.728199513,400,3.305109265,5.549869995,7,2.529665035,6,False.
DummyDim2,KY,27,758,561-7611,yes,yes,900,1.497544911,1,1.341132908,1.491231715,4,5.627807786,0.809115279,250,4.60421469,3.307526632,8,1.603392924,8,False.
DummyDim2,SC,163,836,303-7889,yes,yes,200,9.168640589,5,8.855976309,4.370087574,6,3.971648273,3.758675893,0,7.625976433,4.848048036,8,0.844589931,7,True.
DummyDim2,IN,87,737,383-6065,no,yes,300,3.945713777,1,6.498554888,1.310685764,7,3.17188703,5.353573795,200,3.866663111,3.625295114,7,0.964579687,5,False.
DummyDim2,NM,195,787,916-3660,yes,yes,800,1.219155348,2,3.900300058,2.380178349,2,3.889899179,5.017027641,300,1.715994853,5.225276912,7,5.051772514,5,False.
DummyDim2,CO,142,677,510-5988,no,yes,500,6.50060375,5,5.599282935,6.747135835,2,5.526463577,3.134353445,300,6.630427522,6.328309775,6,2.055627007,8,False.
DummyDim2,NE,120,786,143-1727,yes,yes,1000,6.347691638,5,4.451823069,5.674828439,1,7.067938844,5.675426227,350,3.960394246,4.475494562,7,6.659131155,5,False.
DummyDim2,NH,43,787,758-1307,no,yes,600,1.690797253,4,3.289067921,2.396747026,3,4.629639325,5.33454219,200,2.140123651,4.044141156,6,5.610470921,4,False.
DummyDim2,OH,41,797,791-2794,yes,no,0,5.333009628,3,6.844404067,5.256013969,3,3.340126372,2.056387971,250,7.020042613,5.726680766,6,0.131241057,8,True.
DummyDim2,MT,4,778,138-4081,no,no,0,8.962360899,3,7.781911629,4.558956977,3,7.804408968,4.894176243,100,5.253919178,6.366489654,2,7.343421155,5,True.
DummyDim2,NC,196,786,898-5743,yes,yes,400,3.404901526,6,1.599432482,3.243417714,6,1.90592985,2.910498942,300,2.37660824,4.421377067,4,4.718216864,3,False.
DummyDim2,IA,169,736,160-6461,no,yes,800,11.74485203,1,8.35117804,4.908397598,4,7.446297237,7.362302688,300,6.764954454,4.71064518,6,4.242994298,6,False.
DummyDim2,IL,161,737,470-3257,yes,yes,600,5.238866376,2,6.983545183,6.116290754,4,4.278914575,4.399871925,300,4.317053438,6.129622969,5,6.85715165,4,False.
DummyDim2,DE,154,686,919-1059,no,no,0,11.85966906,4,7.423684893,3.999807051,2,8.703714602,4.471373143,0,7.253944879,4.880031443,5,4.92939281,4,True.
DummyDim2,ME,132,776,670-2917,no,yes,700,3.045349655,4,2.003457658,3.203985059,1,6.246092821,2.583618811,250,5.018733965,4.947075015,6,2.818510559,7,False.
DummyDim2,NY,176,788,784-5256,yes,no,0,9.597170335,1,6.051888275,7.565351528,3,8.202438983,2.107694317,200,5.845629849,5.675618742,7,7.124352242,5,True.
DummyDim2,CA,60,676,294-7063,no,no,0,3.987277752,3,3.319891934,4.292503027,0,5.444569022,3.476215869,200,5.971093072,3.00885508,4,2.98623338,8,False.
DummyDim2,LA,86,766,120-3574,no,yes,400,8.284450521,5,6.927629539,6.28395354,3,6.03570414,4.401957963,150,5.567321492,3.975474402,6,4.946277015,5,True.
DummyDim2,NH,165,787,755-1584,no,no,0,4.429479772,4,5.845480911,7.2335226,4,4.280847539,3.237789874,350,5.599561855,4.554136247,4,5.466103552,5,False.
DummyDim2,VA,162,866,280-3502,yes,no,0,4.034886371,6,1.197537944,3.350960773,0,4.970834636,5.954435001,50,7.139600115,4.884715138,3,1.627098314,8,True.
DummyDim2,IL,101,737,132-4467,yes,yes,200,6.74086464,4,5.639796037,5.611071379,5,3.804590496,5.083805108,200,6.582944838,4.663228381,8,0.317298514,6,True.
DummyDim2,CO,140,677,556-9111,yes,yes,300,3.68206578,3,3.42093707,2.695068531,3,5.093835254,4.766841341,200,5.948213273,3.260299178,3,3.04806122,6,False.
DummyDim2,WA,26,876,745-7632,no,no,0,8.565802242,5,6.816203283,6.762451125,4,6.256830906,4.680851739,150,5.968793431,5.364787868,5,4.816031452,5,True.
DummyDim2,CT,142,678,712-1322,yes,no,0,0.583867238,4,3.315431508,5.138772502,1,2.754828385,0.416719761,100,6.377000245,5.078606479,1,3.725932987,7,False.
DummyDim2,AZ,108,659,368-2967,yes,no,0,11.66508726,3,6.909856608,7.199647911,0,8.697698248,5.665427114,300,6.032671381,4.387030345,8,4.201460361,8,False.
DummyDim2,TX,135,848,929-5449,yes,yes,500,6.577401515,5,6.644405329,4.16590155,4,6.148497517,2.647132486,200,6.358863062,5.564500454,5,3.040021032,6,False.
DummyDim2,MD,134,776,438-2228,yes,yes,0,9.105028925,4,7.362593065,6.176792565,2,7.016987799,2.683682699,200,8.296428328,5.071008771,3,1.463975754,9,True.
DummyDim2,MD,95,776,977-7929,yes,no,0,12.06053561,2,7.121758657,8.809285967,0,8.277454895,5.193884625,150,4.942695772,3.60101201,8,9.765036493,1,True.
DummyDim2,NV,160,788,914-2227,yes,yes,800,0.804383775,2,3.79944477,2.724913913,3,3.813092033,3.936513402,300,2.012856154,5.143198541,7,5.53590862,4,False.
DummyDim2,DC,49,686,689-5590,yes,no,0,0.675686182,3,2.504960431,1.909871616,3,3.00573054,3.108726711,200,2.5548282,4.604699022,7,3.452416825,4,False.
DummyDim2,KY,123,758,374-6067,yes,yes,400,7.769242442,3,7.359222421,2.28999211,6,6.200861932,5.856137634,100,4.284946554,5.999613285,6,5.373658946,3,True.
DummyDim2,FL,48,707,654-7650,yes,yes,1000,3.867570371,6,0.887031126,0.263573602,2,8.602788939,4.407930325,250,4.26723067,4.527534661,8,0.581832732,9,False.
DummyDim2,WY,184,878,493-1022,yes,yes,200,8.056710312,3,7.820946473,4.796317591,7,4.173789056,5.744380853,100,6.429457112,5.052492803,6,2.0404194,6,True.
DummyDim2,ID,79,736,694-1460,yes,yes,200,12.08790685,4,9.112590604,6.593500864,6,7.340174542,5.169107974,150,5.831028679,5.065650705,8,5.537733151,2,True.
DummyDim2,NY,46,788,239-1311,no,no,0,10.62114536,2,6.907825468,8.916203515,0,8.584259403,3.758746814,250,5.757643412,5.989201562,5,9.366608278,3,True.
DummyDim2,KY,41,758,806-6533,yes,no,0,2.446406591,6,8.224622805,12.13312984,12,0.060162228,3.512139554,400,3.972532907,5.723183432,4,7.494398434,2,False.
DummyDim2,WI,133,877,363-3609,yes,no,0,7.575571162,5,7.722124908,3.572640006,7,6.307309165,5.367444596,100,5.673094294,5.37782127,2,5.693675239,4,True.
DummyDim2,HI,78,727,790-8881,yes,yes,300,4.273816948,5,4.558833085,3.420463817,5,3.885568215,6.041607819,50,5.868127788,3.522465637,3,2.745162786,7,True.
DummyDim2,OH,122,797,883-7084,yes,no,0,11.86504304,5,7.336194802,5.37134708,5,8.740424204,7.27328816,100,4.532453129,6.956136569,7,9.103055464,0,True.
DummyDim2,FL,183,707,402-5746,yes,no,0,9.438311235,6,8.507570299,4.879891375,10,5.580655319,6.237382155,150,6.877130683,4.149646412,5,2.758527941,4,True.
DummyDim2,ND,173,786,343-8211,yes,yes,600,1.589060093,9,3.504527776,4.9296931,5,4.583855652,1.152582716,400,4.916791248,5.494604689,7,0.854848237,6,False.
DummyDim2,NH,97,787,649-9499,yes,yes,400,9.30373796,4,7.508047668,4.786463612,3,7.370479682,3.581849216,100,6.105879714,4.112203934,5,5.427154859,4,True.
DummyDim2,OH,83,797,502-5296,no,yes,300,11.79794425,2,9.322342373,8.158438166,1,9.55173068,2.504267583,250,5.402163953,3.931753188,5,9.533142907,3,True.
DummyDim2,SC,78,836,556-1222,no,no,0,7.860990119,5,6.301123397,7.166451243,1,5.897030678,1.985019934,150,6.906314234,3.009447814,6,3.079110531,6,True.
DummyDim2,NV,28,788,514-1335,no,no,0,5.371576087,2,6.361225282,4.212304362,5,4.447847665,5.048586188,200,4.003245327,5.579482948,6,5.244973499,3,False.
DummyDim2,LA,144,766,364-6159,yes,yes,400,5.267145128,3,4.906836631,5.21611512,2,4.315123185,3.444226306,200,5.774350036,5.994646865,7,2.469201903,6,True.
DummyDim2,MA,103,776,889-3737,yes,yes,500,0.524568567,1,1.029972724,0.28610425,1,3.117731366,3.773533072,200,4.797880438,3.946650123,5,1.066232063,6,False.
DummyDim2,TX,65,848,651-4293,yes,yes,400,6.381925371,1,5.319066509,6.840719114,4,6.991223635,0.78265961,200,5.959794945,5.359647518,5,5.251338982,8,True.
DummyDim2,IL,193,737,635-5229,yes,no,0,3.769021848,5,2.688320856,2.834736802,7,1.415503337,2.372033539,350,1.838393795,4.795798079,5,3.776822316,4,False.
DummyDim2,AZ,43,659,166-3864,yes,yes,500,8.441610636,3,5.585862042,5.431942446,0,9.287345258,4.270102382,150,4.962338686,6.246486255,2,9.628821553,5,True.
DummyDim2,NM,166,787,315-4953,yes,yes,500,0.987336339,5,6.209342719,6.802608356,8,1.843217907,2.60705986,350,3.059438729,4.72353006,5,5.673404448,4,False.
DummyDim2,AL,186,657,184-8255,yes,yes,600,5.838998505,6,2.678788105,5.866985143,1,6.228605296,2.144206559,200,7.799726549,4.782454901,6,1.958085081,8,True.
DummyDim2,MN,41,777,483-7730,no,no,0,0.299653741,6,2.168067109,1.316823905,3,1.548519039,3.233929456,150,7.327409747,4.551652485,5,3.496986349,10,True.
DummyDim2,DC,162,686,866-5925,no,yes,300,7.417482683,5,6.920302647,6.743960299,7,4.324986628,7.096317693,150,4.405384098,3.179102912,6,5.515328016,4,True.
DummyDim2,NV,169,788,510-1025,no,no,0,9.163157203,4,3.521193381,7.238093547,2,8.548388649,5.96801135,100,5.695659345,2.223448931,4,8.32051097,5,True.
DummyDim2,ME,163,776,522-2389,yes,yes,600,2.527915425,6,3.327605171,3.554912976,3,5.581402344,3.376108849,300,3.445350362,3.95852522,7,3.105072718,5,False.
DummyDim2,ID,53,736,558-8720,yes,yes,400,9.157483685,4,0.649787667,0.326236898,6,0.064149466,3.107755529,150,1.028220414,4.634979662,2,7.48888658,1,False.
DummyDim2,WY,19,878,918-7670,yes,yes,900,8.841697689,1,6.423562393,2.402904405,0,6.456665523,6.746343767,300,5.79264547,5.42289449,8,2.983863698,7,False.
DummyDim2,AR,27,658,388-2227,no,yes,600,2.07979792,5,2.21938943,2.267774787,0,5.700703743,1.995089351,300,5.304301574,4.591035323,7,0.504675567,9,False.
DummyDim2,GA,130,716,619-2326,no,no,0,0.844967437,5,1.720471062,5.125320721,2,4.143750182,3.323490749,250,4.551788441,3.265886202,4,4.210385045,6,False.
DummyDim2,DC,107,686,935-7546,yes,yes,500,3.28614865,2,4.762878793,3.466693399,1,4.342249439,4.551402871,100,3.126083358,4.200513332,5,6.646236983,5,False.
DummyDim2,IL,38,737,855-2333,no,yes,300,10.45304937,6,5.175207483,4.762410843,3,7.875882653,5.642470817,0,7.144749926,4.611915967,6,3.941589766,4,True.
DummyDim2,ME,115,776,779-7202,yes,yes,600,1.132296136,1,4.817367353,3.443093443,6,1.088207365,5.1107109,200,0.170782809,7.387761827,6,8.963091668,1,False.
DummyDim2,NV,145,788,709-6798,yes,no,0,7.303537995,4,6.285737966,5.893257107,7,3.988385289,6.615625226,200,5.058007149,3.828392431,8,4.896652459,2,True.
DummyDim2,HI,17,727,455-1257,yes,yes,300,5.1723067,4,4.623547791,5.232454714,0,4.816750781,1.904916858,200,7.872035309,4.262719853,5,0.005012042,10,True.
DummyDim2,VA,86,866,798-2721,yes,yes,100,9.389233118,2,10.42064543,6.263623093,4,7.701151427,2.599003347,200,4.367294532,5.626523809,4,8.399491823,4,True.
DummyDim2,CO,33,677,317-1712,no,no,0,5.663419576,4,4.681300298,6.157310913,0,4.910875718,2.540273617,200,5.628699434,4.334216098,8,2.958789477,6,True.
DummyDim2,ME,21,776,988-9262,no,no,0,2.535886255,5,3.455142487,4.738683916,9,0.627930762,2.421443247,350,3.579046025,3.119082058,4,4.066437577,3,False.
DummyDim2,OR,77,798,895-8678,yes,yes,400,2.478096805,3,3.451831042,4.354877098,9,0.725246847,5.858544762,300,0.710823923,4.407243047,3,8.348792271,1,False.
DummyDim2,CA,104,676,382-5311,yes,yes,1000,10.78200043,3,7.749604403,6.320656531,3,8.309689619,8.429549975,250,3.931502241,8.405643792,4,10.96436807,3,False.
DummyDim2,TX,150,848,522-8452,yes,yes,800,2.151502486,5,2.192232499,3.61394559,0,5.880925282,3.51333325,350,3.478877113,5.84336103,7,4.426891701,6,False.
DummyDim2,UT,144,858,642-5982,yes,no,0,3.442345601,1,3.003781509,1.828557058,2,6.110821867,4.181056649,200,3.135726984,5.585580077,7,5.807149381,6,False.
DummyDim2,NE,143,786,298-5110,yes,no,0,0.655294519,2,2.626416058,3.854455908,3,2.915410544,4.259732117,350,5.167103959,3.877939942,4,2.674087952,7,False.
DummyDim2,ME,34,776,479-1672,yes,no,0,6.061881005,1,7.856888277,6.121723698,4,4.643242649,2.807327167,300,5.123603973,4.964464941,5,4.45688853,5,True.
DummyDim2,ME,70,776,635-1455,no,no,0,5.159327112,4,4.052282561,5.865714016,3,5.826338607,6.242710628,300,4.332060356,4.732607488,4,6.568352267,5,False.
DummyDim2,NM,168,787,366-5462,no,yes,100,10.98613888,3,7.844371375,6.033296086,3,6.384149627,3.019161844,200,8.379479978,6.477624551,8,0.084284176,6,True.
DummyDim2,WI,67,877,254-8423,yes,no,0,4.886512035,3,0.69777404,3.710638866,3,0.546376729,3.547603789,200,1.536235602,3.63159876,3,6.471426737,4,False.
DummyDim2,WA,82,876,669-1131,no,no,0,0.445755178,6,1.834414097,3.588557627,4,3.237435702,2.763229502,400,5.54450692,6.308939257,5,0.55808313,7,False.
DummyDim2,AL,154,657,255-3655,yes,yes,600,3.633107235,2,1.815333592,0.015687953,0,5.8307367,5.383976482,300,5.377916339,4.058991428,9,2.62784474,9,False.
DummyDim2,KS,48,758,938-4636,yes,no,0,6.495413243,1,7.683836224,3.614060301,5,5.43636483,4.499819723,150,5.039401928,4.58878284,3,4.948506294,5,True.
DummyDim2,IL,84,737,644-3682,no,no,0,6.044079572,5,6.684498992,7.673333508,4,4.849318405,3.297203125,200,4.674287601,5.980661248,6,5.84420407,5,False.
DummyDim2,HI,81,727,894-3380,no,yes,400,0.194254774,6,1.20955984,2.860536486,2,4.360586163,1.871006473,250,5.146056504,5.226064679,4,2.151812178,6,False.
DummyDim2,MT,59,778,224-7209,no,no,0,6.313835743,2,4.442311786,9.280764505,2,6.098572777,2.772854332,300,5.235880437,4.72338419,6,7.398360709,6,True.
DummyDim2,WA,42,876,603-7998,yes,no,0,7.740993587,2,10.4690516,5.313698466,7,4.890093093,3.006841251,200,5.993863462,4.885359068,4,3.418499972,6,True.
DummyDim2,TX,1,848,617-3849,no,yes,300,9.522265819,5,4.782896454,7.098033921,1,8.186149107,5.132558511,200,6.771304573,4.372064172,4,6.511452243,4,True.
DummyDim2,SD,25,836,134-6295,yes,no,0,1.548892377,2,1.276098411,1.907985047,0,3.268354235,2.644318426,300,2.232624698,4.63500015,8,2.644626845,6,False.
DummyDim2,KS,61,758,378-3478,yes,no,0,2.720883459,3,3.662482112,5.024094611,7,0.408122716,4.030774424,250,1.942090687,6.065604798,2,9.106634182,1,False.
DummyDim2,WV,118,878,735-8346,yes,no,0,11.39909122,1,7.317609499,4.464820509,0,8.987729159,4.342721575,50,5.877273841,4.782057932,6,6.562931262,4,True.
DummyDim2,SC,142,836,385-1667,yes,yes,600,6.654779789,6,3.642681255,6.258737374,2,4.943800725,5.526529123,150,6.319353873,4.49523105,7,3.073516048,5,True.
DummyDim2,MO,61,777,479-5923,no,no,0,3.909431897,3,5.530495036,3.138284027,7,4.280546774,6.128568351,350,3.407972003,4.273044379,7,3.298446272,4,False.
DummyDim2,OK,3,797,425-1500,yes,no,0,2.31024985,5,4.432676786,6.671382653,8,0.391678604,2.764321509,450,1.793697138,4.087644917,6,4.423745551,4,False.
DummyDim2,WI,146,877,199-6811,no,yes,400,1.118142173,5,2.316193319,0.805709131,6,5.390947561,5.605307949,200,2.819756662,3.756256618,6,2.288540656,4,False.
DummyDim2,NM,103,787,926-7341,yes,no,0,6.833332306,2,6.968794644,6.249575131,1,4.663413573,0.495910178,250,6.812702317,4.842771324,8,1.419419199,6,True.
DummyDim2,NV,54,788,727-8490,yes,yes,500,8.655314663,2,8.852817663,7.178762239,7,4.355491697,6.617488854,350,4.984279016,5.332049148,8,3.508902524,6,False.
DummyDim2,WV,49,878,834-3343,no,yes,200,4.709589828,4,1.992679292,2.071798695,5,0.790013607,1.679037238,150,1.499244357,5.516472337,4,4.599662887,4,False.
DummyDim2,WI,59,877,121-7862,yes,no,0,6.025338399,3,6.554570326,2.880076359,2,7.145920907,2.409941787,150,5.656263159,3.765019687,2,4.978441922,6,True.
DummyDim2,AK,109,657,106-8047,yes,yes,500,3.848942119,3,3.0646067,3.438418775,2,3.500655153,4.703801116,200,6.696541107,3.492173646,6,0.306549303,7,True.
